rand_index,media,desvio_padrao
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
0.9801980198019802,0.9998039407901186,0.0019605920988138435
0.9803921568627451,0.9996136291829875,0.0027320880591440704
0.9805825242718447,0.9994288611741414,0.0032975803741884017
0.9807692307692307,0.9992494416510174,0.0037530239682550767
0.9804029304029304,0.9990699510677022,0.004159519044062885
0.9804132973944295,0.9988939449009732,0.004515648787846681
0.9804267324986775,0.9987213541308583,0.004833011062822794
0.9624437521633783,0.9983854504089372,0.005934194840590629
0.962623173632348,0.9980573561265832,0.006820362947086525
0.9628023352793995,0.9977368559370633,0.007569080935947304
0.962981162981163,0.9974237415861092,0.008219447478331346
0.9631595881595881,0.9971178116448011,0.008794597545121553
0.9633375474083439,0.9968188712533279,0.009309640030066303
0.9635149821456296,0.9965267318751903,0.009775130262760192
0.9470633104500381,0.9960966151671454,0.010761613174547447
0.9311844077961019,0.9955370271725675,0.012281078506733925
0.9300029472443265,0.9949769068313005,0.013635579345522368
0.9303201506591338,0.994428968219672,0.01481489287438971
0.9290699330579689,0.9938797326300778,0.015913281270067713
0.9278711484593838,0.9933296610953221,0.016944884605162316
0.927961432506887,0.9927894278012027,0.017882348499138338
0.9280585286546539,0.9922588466606572,0.018740883956447935
0.928162068505931,0.9917377346431391,0.019531905232554526
0.9137162339365329,0.9911085289922794,0.020666746628776426
0.9139354838709678,0.9904911446313089,0.02170165359103989
0.9141587301587302,0.9898853318180345,0.022651713453120045
0.9143857017872766,0.9892908465422018,0.02352849271754111
0.9146161417322834,0.9887074504108743,0.024341109891915014
0.9148498062015504,0.9881349105332826,0.025096918786167287
0.9150864639236732,0.9875729994055163,0.025801962763329793
0.9132119788608338,0.9870053580273127,0.026505611922198278
0.9133703446680546,0.9864475170170153,0.027165981995043834
0.9135338345864662,0.9858992938408457,0.027786942946930043
0.9137021658624173,0.9853605093036932,0.028371826861938697
0.9138750690989497,0.9848309875243989,0.028923530089685578
0.9009803921568628,0.9842144390290494,0.02969405942020495
0.8986689566337484,0.9835900194495216,0.0304684673307913
0.8988680842060721,0.9829760923825401,0.031196741390353402
0.8965697007611302,0.9823544636658393,0.03193056909557615
0.8943473792394656,0.9817258416342224,0.03266812956096567
0.8921985815602836,0.981090896527315,0.03340777735312515
0.8922185595844571,0.9804650349995484,0.03410938208459836
0.8922485964739486,0.9798481368280407,0.03477576640208999
0.8922882672882673,0.9792400821784589,0.03540942096411202
0.8900383141762452,0.9786248975715471,0.03605103482699632
0.8878601794992914,0.9780032214203672,0.036698978097848646
0.8878016960208741,0.9773896056013232,0.03731789845613006
0.8856407427835999,0.9767696808525547,0.03794349742917647
0.8855432613821875,0.9761574230037603,0.03854251875956814
0.8742729306487695,0.975478193054727,0.039298395546663416
0.8718763796909492,0.9747920883304636,0.040059296935832586
0.8695538515162078,0.9740997315093172,0.04082367911266339
0.8674750601995184,0.9734028382327825,0.04158726367625728
0.8568033273915627,0.9726456985519953,0.04249680968346684
0.8567239212400503,0.9718978161177247,0.04336431585756483
0.8566583953680728,0.97115910188215,0.044192679665032146
0.8566062387718438,0.9704294658113838,0.04498447535164922
0.8565669596065468,0.9697088170379354,0.04574200421253145
0.8565400843881856,0.9689970640024025,0.0464673351058515
0.8565251572327044,0.9682941145850918,0.04716233743767136
0.8565217391304348,0.9675998762282306,0.04782870826733805
0.8465608465608465,0.966852721724111,0.04861420629541002
0.8442020752859198,0.9661002637705024,0.04940207779353875
0.8419123148286698,0.9653430201793937,0.05019114369307642
0.839689578713969,0.9645814841705124,0.05098031980282448
